project,rank,allmethod,exam,formular,win,methodid
Math1,17,597,0.0284757118927973,300,9,528
Math1,13,597,0.0217755443886097,300,9,435
Math2,33,322,0.1024844720496894,300,9,97
Math3,1,105,0.0095238095238095,300,9,18
Math3,1,105,0.0095238095238095,300,9,18
Math4,76,478,0.1589958158995816,300,9,236
Math4,71,478,0.1485355648535564,300,9,249
Math5,1,62,0.0161290322580645,300,9,31
Math6,508,1123,0.4523597506678539,300,9,700
Math6,508,1123,0.4523597506678539,300,9,700
Math6,508,1123,0.4523597506678539,300,9,700
Math6,1063,1123,0.9465716829919858,300,9,215
Math6,1063,1123,0.9465716829919858,300,9,215
Math6,1063,1123,0.9465716829919858,300,9,215
Math6,1063,1123,0.9465716829919858,300,9,215
Math6,344,1123,0.3063223508459483,300,9,609
Math6,344,1123,0.3063223508459483,300,9,609
Math6,544,1123,0.4844167408726625,300,9,973
Math6,544,1123,0.4844167408726625,300,9,973
Math6,544,1123,0.4844167408726625,300,9,973
Math6,165,1123,0.1469278717720391,300,9,1014
Math6,337,1123,0.3000890471950133,300,9,52
Math6,337,1123,0.3000890471950133,300,9,52
Math6,337,1123,0.3000890471950133,300,9,52
Math6,13,1123,0.0115761353517364,300,9,113
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math7,5,611,0.0081833060556464,300,9,100
Math9,4,272,0.0147058823529411,300,9,71
Math10,1,341,0.002932551319648,300,9,215
Math11,68,872,0.0779816513761468,300,9,830
Math13,195,1265,0.1541501976284585,300,9,769
Math13,195,1265,0.1541501976284585,300,9,769
Math14,98,1064,0.0921052631578947,300,9,308
Math14,98,1064,0.0921052631578947,300,9,308
Math14,98,1064,0.0921052631578947,300,9,308
Math14,123,1064,0.1156015037593985,300,9,790
Math14,186,1064,0.1748120300751879,300,9,60
Math14,186,1064,0.1748120300751879,300,9,60
Math15,130,367,0.3542234332425068,300,9,112
Math16,116,380,0.3052631578947368,300,9,53
Math16,245,380,0.6447368421052632,300,9,332
Math16,333,380,0.8763157894736842,300,9,114
Math16,116,380,0.3052631578947368,300,9,53
Math16,116,380,0.3052631578947368,300,9,53
Math16,116,380,0.3052631578947368,300,9,53
Math16,116,380,0.3052631578947368,300,9,53
Math16,245,380,0.6447368421052632,300,9,332
Math16,245,380,0.6447368421052632,300,9,332
Math16,245,380,0.6447368421052632,300,9,332
Math16,245,380,0.6447368421052632,300,9,332
Math17,1,158,0.0063291139240506,300,9,112
Math18,6,844,0.0071090047393364,300,9,30
Math18,1,844,0.0011848341232227,300,9,278
Math18,4,844,0.0047393364928909,300,9,758
Math18,4,844,0.0047393364928909,300,9,758
Math18,4,844,0.0047393364928909,300,9,758
Math19,342,722,0.4736842105263157,300,9,28
Math20,6,852,0.0070422535211267,300,9,355
Math21,1,678,0.0014749262536873,300,9,482
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math21,1,678,0.0014749262536873,300,9,276
Math22,60,433,0.138568129330254,300,9,377
Math22,59,433,0.1362586605080831,300,9,116
Math23,67,320,0.209375,300,9,19
Math23,67,320,0.209375,300,9,19
Math23,67,320,0.209375,300,9,19
Math23,67,320,0.209375,300,9,19
Math23,67,320,0.209375,300,9,19
Math24,74,326,0.2269938650306748,300,9,19
Math24,74,326,0.2269938650306748,300,9,19
Math25,1,357,0.0028011204481792,300,9,284
Math25,1,357,0.0028011204481792,300,9,284
Math26,3,619,0.0048465266558966,300,9,556
Math26,3,619,0.0048465266558966,300,9,556
Math27,49,285,0.1719298245614035,300,9,10
Math28,5,756,0.0066137566137566,300,9,459
Math28,5,756,0.0066137566137566,300,9,459
Math28,5,756,0.0066137566137566,300,9,459
Math28,5,756,0.0066137566137566,300,9,459
Math29,8,627,0.0127591706539074,300,9,68
Math29,8,627,0.0127591706539074,300,9,68
Math29,8,627,0.0127591706539074,300,9,68
Math29,8,627,0.0127591706539074,300,9,68
Math29,7,627,0.011164274322169,300,9,10
Math30,3,430,0.0069767441860465,300,9,75
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math31,22,560,0.0392857142857142,300,9,303
Math32,41,670,0.0611940298507462,300,9,414
Math33,1,726,0.0013774104683195,300,9,292
Math34,24,77,0.3116883116883117,300,9,59
Math35,5,378,0.0132275132275132,300,9,77
Math35,8,378,0.0211640211640211,300,9,370
Math36,33,432,0.0763888888888889,300,9,198
Math36,33,432,0.0763888888888889,300,9,198
Math36,22,432,0.0509259259259259,300,9,196
Math36,23,432,0.0532407407407407,300,9,207
Math37,30,246,0.1219512195121951,300,9,18
Math37,27,246,0.1097560975609756,300,9,159
Math37,30,246,0.1219512195121951,300,9,18
Math37,27,246,0.1097560975609756,300,9,159
Math38,1,491,0.0020366598778004,300,9,261
Math38,1,491,0.0020366598778004,300,9,261
Math38,1,491,0.0020366598778004,300,9,261
Math38,1,491,0.0020366598778004,300,9,261
Math39,55,562,0.097864768683274,300,9,242
Math40,19,269,0.070631970260223,300,9,36
Math40,19,269,0.070631970260223,300,9,36
Math41,1,302,0.0033112582781456,300,9,179
Math42,7,704,0.0099431818181818,300,9,283
Math42,7,704,0.0099431818181818,300,9,283
Math43,30,484,0.0619834710743801,300,9,340
Math43,30,484,0.0619834710743801,300,9,340
Math43,30,484,0.0619834710743801,300,9,340
Math44,172,596,0.2885906040268456,300,9,53
Math44,38,596,0.0637583892617449,300,9,92
Math44,38,596,0.0637583892617449,300,9,92
Math45,2,688,0.002906976744186,300,9,451
Math46,2,288,0.0069444444444444,300,9,19
Math46,19,288,0.0659722222222222,300,9,170
Math47,1,290,0.0034482758620689,300,9,18
Math47,1,290,0.0034482758620689,300,9,18
Math47,12,290,0.0413793103448275,300,9,55
Math47,60,290,0.2068965517241379,300,9,51
Math48,410,601,0.6821963394342762,300,9,190
Math49,142,536,0.2649253731343283,300,9,414
Math49,49,536,0.0914179104477612,300,9,31
Math49,25,536,0.0466417910447761,300,9,8
Math49,25,536,0.0466417910447761,300,9,8
Math50,1,589,0.0016977928692699,300,9,189
Math50,1,589,0.0016977928692699,300,9,189
Math50,1,589,0.0016977928692699,300,9,189
Math50,1,589,0.0016977928692699,300,9,189
Math51,15,271,0.055350553505535,300,9,49
Math51,15,271,0.055350553505535,300,9,49
Math51,15,271,0.055350553505535,300,9,49
Math52,5,373,0.0134048257372654,300,9,93
Math52,8,373,0.0214477211796246,300,9,233
Math52,7,373,0.0187667560321715,300,9,111
Math53,4,79,0.050632911392405,300,9,29
Math54,5,361,0.0138504155124653,300,9,249
Math54,124,361,0.3434903047091412,300,9,110
Math56,1,251,0.0039840637450199,300,9,178
Math56,1,251,0.0039840637450199,300,9,178
Math56,1,251,0.0039840637450199,300,9,178
Math56,2,251,0.0079681274900398,300,9,40
Math56,2,251,0.0079681274900398,300,9,40
Math56,2,251,0.0079681274900398,300,9,40
Math56,2,251,0.0079681274900398,300,9,40
Math57,1,244,0.0040983606557377,300,9,52
Math58,330,590,0.559322033898305,300,9,397
Math59,180,398,0.4522613065326633,300,9,251
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math60,38,292,0.1301369863013698,300,9,51
Math61,279,481,0.58004158004158,300,9,29
Math64,15,45,0.3333333333333333,300,9,40
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,12,45,0.2666666666666666,300,9,34
Math64,14,45,0.3111111111111111,300,9,41
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math64,5,45,0.1111111111111111,300,9,23
Math65,36,368,0.0978260869565217,300,9,255
Math65,36,368,0.0978260869565217,300,9,255
Math65,17,368,0.046195652173913,300,9,307
Math65,17,368,0.046195652173913,300,9,307
Math65,17,368,0.046195652173913,300,9,307
Math65,17,368,0.046195652173913,300,9,307
Math65,13,368,0.0353260869565217,300,9,187
Math66,81,368,0.2201086956521739,300,9,216
Math66,102,368,0.2771739130434782,300,9,56
